零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
N1-F36-4-1P,E01S-1231,BN1,6,large,2063.238708005938,2048.572260268432,2048.572260268432
N1-F36-4-1S,E01S-1231,BN1,7,large,2063.238708005938,2048.572260268432,2048.572260268432
N1-F18-1P-1P,E01S-1222,BN1,3,small,2099.0504655456216,2220.2486313020495,2716.686668409153
N1-F18-2S-1S,E01S-1222,BN1,3,small,2099.0504655456216,2220.2486313020495,2716.686668409153
N1-ST-3-1P,E01S-1222,BN1,9,small,2099.0504655456216,2309.670116621891,2754.936668409153
N1-ST-3-1S,E01S-1222,BN1,9,small,2099.0504655456216,2309.670116621891,2754.936668409153
N1-ST-3-2P,E01S-1222,BN1,9,small,2099.0504655456216,2309.670116621891,2754.936668409153
N1-ST-4-1P,E01S-1222,BN1,9,small,2099.0504655456216,2309.670116621891,2754.936668409153
N1-ST-4-1S,E01S-1222,BN1,9,small,2099.0504655456216,2309.670116621891,2754.936668409153
N1-ST-4-2P,E01S-1222,BN1,9,small,2099.0504655456216,2309.670116621891,2754.936668409153
N1-F25-7-1P,E01S-1218,BN1,3,small,2126.8977808773006,2220.2486313020495,2716.686668409153
N1-F25-7-1S,E01S-1218,BN1,7,small,2126.8977808773006,2706.186668409153,2742.186668409153
N1-F25-6-1P,E01S-1218,BN1,6,large,2126.8977808773006,2124.3669231581307,2124.3669231581307
N1-F25-6-1S,E01S-1218,BN1,7,large,2126.8977808773006,2124.3669231581307,2124.3669231581307
N1-F29-6S-1S,E01S-1218,BN1,7,large,2126.8977808773006,2124.3669231581307,2124.3669231581307
N1-F28-1P-1P,E01S-1220,BN1,4,small,1985.9184525102407,2186.61784782155,2723.061668409153
N1-F29-1P-1P,E01S-1220,BN1,4,small,1985.9184525102407,2186.61784782155,2723.061668409153
N1-F28-2S-1S,E01S-1220,BN1,5,small,1985.9184525102407,2192.99284782155,2729.436668409153
N1-F29-2S-1S,E01S-1220,BN1,5,small,1985.9184525102407,2192.99284782155,2729.436668409153
N1-F19-1SP-1SP,E01S-1220,BN1,3,large,1985.9184525102407,1974.539779611584,1974.539779611584
N1-F27-1SP-1SP,E01S-1220,BN1,3,large,1985.9184525102407,1974.539779611584,1974.539779611584
